can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
 ,"MARKEY, ED",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,P,MA,00,S, ,"$6,277.88",03/26/2013,"$7,004.14",Support,RENTAL VEHICLE,ENTERPRISE RENT-A-CAR,863496,N,SE.12120,13940509626,03/28/2013, 
 ,"MARKEY, ED",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,P,MA,00,S, ,"$726.26",03/26/2013,"$726.26",Support,GAS CARDS,"SVM, LP",863496,N,SE.12118,13940509626,03/28/2013, 
 ,"MARKEY, ED",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,P,MA,00,S, ,"$9,465.92",03/26/2013,"$49,030.06",Support,STAFF SALARIES,1199 SEIU,863496,N,SE.12124,13940509625,03/28/2013, 
 ,"MARKEY, ED",C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,P,MA,00,S, ,"$32,560.00",03/26/2013,"$39,564.14",Support,STAFF SALARIES,1199 SEIU,863496,N,SE.12122,13940509625,03/28/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$7,791.35",04/05/2013,"$15,863.47",Support,Salaries,350.org,864166,N,F57.000001,13940512822,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$29.51",03/29/2013,"$29.51",Support,Reimbursement,"Ruark, Matthew",864166,N,F57.000010,13940512825,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$7,500.00",04/05/2013,"$15,000.00",Support,Media Relations Services,Fitzgibbon Media Inc.,864166,N,F57.000002,13940512822,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$81.09",03/22/2013,"$229.62",Support,Reimbursement,"Wessel, Benjamin",864166,N,F57.000006,13940512823,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$96.25",04/05/2013,"$149.77",Support,Reimbursement,"Carroll, Forrest",864166,N,F57.000009,13940512824,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$108.06",03/29/2013,"$337.68",Support,Reimbursement,"Wessel, Benjamin",864166,N,F57.000007,13940512824,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$148.53",03/15/2013,"$148.53",Support,Reimbursement,"Wessel, Benjamin",864166,N,F57.000005,13940512823,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$398.00",03/15/2013,"$398.00",Support,Materials,Websticker.com,864166,N,F57.000003,13940512822,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$3,006.13",04/05/2013,"$3,035.64",Support,Organizing Services Reimbursement,"Ruark, Matthew",864166,N,F57.000011,13940512825,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$53.52",03/22/2013,"$53.52",Support,Reimbursement,"Carroll, Forrest",864166,N,F57.000008,13940512824,04/07/2013, 
 ,"Markey, Edward",C90014580,350.ORG ACTION FUND,P,MA,00,S, ,"$4,767.52",03/28/2013,"$4,767.52",Support,Materials,Image Pointe,864166,N,F57.000004,13940512823,04/07/2013, 
 ,"Markey, Edward",C90014580,350.org Action Fund,P,MA,00,S, ,"$8,072.12",03/12/2013,"$8,072.12",Support,Salaries,350.org,860852,N,F57.000001,13961151643,03/14/2013, 
 ,"Markey, Edward",C90014580,350.org Action Fund,P,MA,00,S, ,"$7,500.00",03/12/2013,"$7,500.00",Support,Media Relations Services,Fitzgibbon Media Inc.,860852,N,F57.000002,13961151643,03/14/2013, 
S0AR00028,"PRYOR, MARK L",C00487470,CLUB FOR GROWTH ACTION,P,AR,00,S,Dem,"$151,000.00",03/01/2013,"$151,145.33",Oppose,"tv ad air buy, production costs","Red Sea, LLC",858897,N,SE.38614,13961107684,03/01/2013, 
S0AR00028,"PRYOR, MARK L",C00487470,CLUB FOR GROWTH ACTION,P,AR,00,S,Dem,"$419.47",03/01/2013,"$151,564.80",Oppose,tv ad production costs (pulled from advance line 21),Club for Growth,858897,N,SE.38615,13961107684,03/01/2013, 
S0AR00028,"PRYOR, MARK L",C00487470,CLUB FOR GROWTH ACTION,P,AR,00,S,Dem,"$76.41",02/28/2013,"$76.41",Oppose,press release (pulled from advance line 21),Club for Growth,858897,N,SE.38611,13961107683,03/01/2013, 
S0AR00028,"PRYOR, MARK L",C00487470,CLUB FOR GROWTH ACTION,P,AR,00,S,Dem,"$68.92",02/28/2013,"$145.33",Oppose,press release (pulled from advance line 21),Club for Growth,858897,N,SE.38613,13961107683,03/01/2013, 
H4SC00018,"BOSTIC, CURTIS EILLIOTT",C00541524,COASTAL CONSERVATIVE FUND,S,SC,01,H,Rep,"$11,925.00",03/12/2013,"$11,925.00",Support,Media Placement and Production,"SRH Media, Inc.",860290,N,SE.4111,13961148927,03/13/2013, 
H8IL11113,"HALVORSON, DEBORAH L",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$19,910.00",02/12/2013,"$24,123.33",Oppose,Canvassing,Grassroots Campaigns,855252,N,SE.13986,13960819566,02/12/2013, 
H8IL11113,"HALVORSON, DEBORAH L",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$512.67",02/11/2013,"$3,700.67",Oppose,Printing,Fedex/Kinko's,855252,N,SE.13984,13960819565,02/12/2013, 
H2IL02164,"HUTCHINSON, TOI",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$19,910.00",02/12/2013,"$44,033.33",Oppose,Canvassing,Grassroots Campaigns,855252,N,SE.13987,13960819566,02/12/2013, 
H2IL02164,"HUTCHINSON, TOI",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$512.66",02/11/2013,"$4,213.33",Oppose,Printing,Fedex/Kinko's,855252,N,SE.13985,13960819565,02/12/2013, 
H2IL02164,"HUTCHINSON, TOI",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$1,594.00",02/11/2013,"$3,188.00",Oppose,Printing,Minuteman Press,855165,N,SE.13976,13960817767,02/11/2013, 
H8IL11113,"HALVORSON, DEBORAH L",C00507517,CREDO SUPERPAC,S,IL,02,H,Dem,"$1,594.00",02/11/2013,"$1,594.00",Oppose,Printing,Minuteman Press,855165,N,SE.13975,13960817767,02/11/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,G,SC,01,H, ,"$625.00",03/06/2013,"$1,670.00",Support,Blast Emails (3/6/13),"Russo Marsh & Associates, Inc.",860029,N,68767,13961142359,03/11/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,G,SC,01,H, ,"$1,045.00",03/10/2013,"$1,670.00",Support,Blast Emails (3/10/13),"Russo Marsh & Associates, Inc.",860029,N,68768,13961142359,03/11/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$625.00",03/06/2013,"$2,170.00",Support,Blast Emails (3/6/13),"Russo Marsh & Associates, Inc.",860082,A2,68767,13961142360,03/11/2013,860029
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$1,045.00",03/10/2013,"$2,170.00",Support,Blast Emails (3/10/13),"Russo Marsh & Associates, Inc.",860082,A2,68768,13961142360,03/11/2013,860029
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$2,800.00",03/12/2013,"$9,220.00",Support,3/13 to 3/19 Radio Advertising -Special,"Gill, Ryan",860255,N,68771,13961148394,03/12/2013, 
 ,"Grooms, Larry",C00495010,Conservative Campaign Committee,S,SC,01,H, ,"$4,250.00",03/12/2013,"$9,220.00",Support,3/13 to 3/19 Radio Advertising - Special,"Wierzbicki, Joe",860255,N,68770,13961148394,03/12/2013, 
